Nation,Formation 1,Formation 2,WC 2026 Squad Overview,Key Guaranteed Players,Key Likely Players,Notable Absences / Retirements
France,4-2-3-1,4-3-3,"Exceptionally deep squad. Numerous young talents competing for backup roles, while several older veterans have retired.","Kylian Mbappé, Ousmane Dembélé, William Saliba, Eduardo Camavinga","Rayan Cherki, Boubacar Kamara, Désiré Doué","Karim Benzema, Hugo Lloris, Olivier Giroud, Antoine Griezmann"
Spain,4-3-3,4-2-3-1,Balanced mix of youth and experience. Deep pool of young talent competing for rotational roles.,"Rodri, Pedri, Lamine Yamal, Nico Williams, Dani Olmo","Joan García, Oihan Sancet, Pau Cubarsí","Sergio Ramos, David De Gea, Sergio Busquets"
Argentina,4-3-3,4-4-2,"Reigning champions still built around Messi, with a strong core and emerging prospects stepping up.","Lionel Messi, Julián Álvarez, Lautaro Martínez, Enzo Fernández, Alexis Mac Allister","Nico Paz, Matías Soulé, Paulo Dybala","Mauro Icardi, Juan Brunetta, Ángel Di María"
Brazil,4-2-3-1,4-3-3,Highlights global stars and emerging talents like Endrick. Older Premier League veterans are phasing out.,"Alisson, Vinícius Júnior, Rodrygo, Gabriel, Endrick","Joelinton, Éderson, João Pedro","Casemiro, Thiago Silva, Fabinho"
England,4-2-3-1,3-4-2-1,"Heavyweight core with immense depth in attack and midfield, though older defenders are missing out.","Harry Kane, Declan Rice, Bukayo Saka, Jude Bellingham, Cole Palmer","Marcus Rashford, Morgan Rogers, Levi Colwill","Kieran Trippier, Jordan Henderson, Mason Mount"
Colombia,4-2-3-1,4-3-3,Solid core led by Luis Díaz. 'Likely' squad additions bolster the attack as older midfielders fade.,"Luis Díaz, Davinson Sánchez, Daniel Muñoz, Richard Ríos","Luis Suárez, Cucho Hernández","Wílmar Barrios, Yerry Mina"
Netherlands,4-3-3,3-4-2-1,Strong starting base led by Van Dijk. Younger Eredivisie/European talents replace aging veterans.,"Virgil van Dijk, Frenkie de Jong, Jurriën Timber, Xavi Simons","Jan Paul van Hecke, Quinten Timber, Joshua Zirkzee","Marten de Roon, Luuk de Jong, Daley Blind"
Portugal,4-3-3,3-4-3,World-class roster with abundant youth depth; older defensive figures miss the cut.,"Vitinha, Bruno Fernandes, Rúben Dias, Bernardo Silva, Cristiano Ronaldo","Francisco Trincão, Pote, Tomás Araújo","Raphaël Guerreiro, João Moutinho, Danilo Pereira"
Germany,4-2-3-1,3-4-2-1,Revitalized around young stars. Robust pool of options while legends have retired internationally.,"Joshua Kimmich, Florian Wirtz, Jamal Musiala, Antonio Rüdiger, Kai Havertz","Felix Nmecha, Leon Goretzka, Karim Adeyemi","Thomas Müller, Manuel Neuer, İlkay Gündoğan"
Ecuador,4-3-3,3-5-2,Exciting young generation headlined by Caicedo. MLS and domestic talents serve as likely backups.,"Moisés Caicedo, Willian Pacho, Piero Hincapié, Kendry Páez","Gonzalo Plata, Kevin Mier, Jeremy Sarmiento","Ángel Mena, Pedro Ortiz"
Japan,3-4-2-1,4-2-3-1,Core consists of European-based stars. Strong J-League/European fringe talents push out veterans.,"Kaoru Mitoma, Takefusa Kubo, Wataru Endo, Ritsu Doan, Takehiro Tomiyasu","Kaishu Sano, Tsuyoshi Watanabe, Keisuke Osako","Yuto Nagatomo, Yuya Osako, Hotaru Yamaguchi"
Senegal,4-3-3,4-2-3-1,Retains physical spine with Koulibaly and Mané. Seeing transition away from older defenders.,"Iliman N'Diaye, Kalidou Koulibaly, Ismaïla Sarr, Nicolas Jackson, Sadio Mané","Idrissa Gueye, Boulaye Dia, Habib Diarra","Youssouf Sabaly, Amath N'Diaye"
Croatia,4-3-3,4-2-3-1,"Modrić continues to lead. European talents fill the ranks, while several older players have retired.","Luka Modrić, Joško Gvardiol, Mateo Kovačić, Andrej Kramarić","Ivan Perišić, Nikola Vlašić, Petar Sučić","Dejan Lovren, Domagoj Vida, Marcelo Brozović"
Norway,4-3-3,4-5-1,"World-class spine but overall squad depth is challenged, leaving older fringe players out.","Erling Haaland, Martin Ødegaard, Alexander Sørloth, Antonio Nusa","Patrick Berg, Jens Petter Hauge, Oscar Bobb","Joshua King, M. Elyounoussi"
Uruguay,4-2-3-1,4-3-3,Intense pressing system driven by Valverde and Núñez. Historic veteran strikers are now fully retired.,"Federico Valverde, Ronald Araujo, Darwin Núñez, Manuel Ugarte","Rodrigo Zalazar, Santiago Mouriño, Federico Pereira","Leandro Cabrera, F. Gorriarán, Luis Suárez, Edinson Cavani"
Mexico,4-3-3,4-2-3-1,Automatically qualifies as co-hosts. Relies heavily on domestic Liga MX stars and key European players.,"Julián Quiñones, Santiago Giménez, Edson Álvarez, Johan F. Vásquez","Marcel Ruiz, Luis Malagón, Israel Reyes","Héctor Herrera, Chicharito"
Turkey,4-2-3-1,4-3-3,Combines experienced playmakers with elite youngsters. Veterans are falling out of favor.,"Hakan Çalhanoğlu, Kenan Yıldız, Ferdi Kadıoğlu, Arda Güler","Zeki Çelik, Yunus Akgün, Can Uzun","Cengiz Ünder, Atakan Karazor"
Morocco,4-3-3,4-1-4-1,Impressive roster highlighted by Hakimi. Depth secured by European-based players.,"Achraf Hakimi, Yassine Bounou, Noussair Mazraoui, Brahim Díaz, Nayef Aguerd","Ismael Saibari, Ez Abde, Bilal El Khannouss","Oussama Idrissi, Maroan Sannadi"
Switzerland,3-4-2-1,4-2-3-1,Steady spine of Kobel and Akanji. Golden generation stalwarts have retired from international duty.,"Gregor Kobel, Granit Xhaka, Manuel Akanji, Breel Embolo","Romano Schmid, Marco Friedl","Yann Sommer, Fabian Schär, Xherdan Shaqiri"
Belgium,4-3-3,3-4-2-1,De Bruyne and Doku spearhead the attack. Golden Generation defenders are completely out.,"Thibaut Courtois, Kevin De Bruyne, Jérémy Doku, Romelu Lukaku","A. Saelemaekers, Dodi Lukébakio, Matz Sels","Toby Alderweireld, Jan Vertonghen, Dries Mertens"
Australia,4-2-3-1,4-4-2,Guaranteed spots for key defenders and veteran keeper Ryan. Strong A-League representation.,"Alessandro Circati, Mathew Ryan, Jordan Bos, Jackson Irvine","Cameron Burgess, Jamie Maclaren, Connor Metcalfe","Mathew Leckie, Massimo Luongo"
United States,4-3-3,4-2-3-1,Automatically qualifies as co-hosts. Core relies heavily on European-based players; MLS veterans left out.,"Christian Pulisic, Weston McKennie, Johnny Cardoso, Tyler Adams","A. Zendejas, Miles Robinson, Brenden Aaronson","Tim Ream, Walker Zimmerman, Jordan Morris"
Paraguay,4-4-2,4-3-3,Enciso and Almirón provide flair. Strong domestic and Brazilian league players act as backups.,"Omar Alderete, Julio Enciso, Gustavo Gómez, Miguel Almirón","Maurício, Junior Alonso, Adam Bareiro","Óscar Romero, Gatito Fernández"
Iran,4-2-3-1,4-4-2,Counts heavily on elite striking duo. Defensive mainstays miss out while wide prospects step up.,"Mehdi Taremi, Sardar Azmoun, A. Beiranvand, A. Jahanbakhsh","A. Hosseinzadeh, A. Sayyadmanesh, M. Mohebi","Ramin Rezaeian, Omid Ebrahimi"
Canada,4-2-3-1,3-5-2,Automatically qualifies as co-hosts. Relies heavily on Davies and David; 2022 veterans phase out.,"Alphonso Davies, Jonathan David, Tajon Buchanan, Stephen Eustáquio","Liam Millar, Richie Laryea, Derek Cornelius","Milan Borjan, Steven Vitória"
Jordan,3-4-3,4-2-3-1,Revolves heavily around Al-Tamari. Relies on a consistent local and regional core.,"Musa Al-Tamari, Yazan Al-Arab, Ehsan Haddad, Yazan Al-Naimat","Tammer Bany, Bahaa Faisal","Hamza Al-Dardour, Mussab Al-Laham"
Czech Republic,3-5-2,4-2-3-1,Leans on Schick and Souček. Slavia/Sparta Prague players push out older veterans.,"Patrik Schick, Lukáš Provod, Tomáš Souček, Vladimír Coufal","Lukáš Horníček, Vasil Kušej, Antonín Kinský","Matěj Vydra, Pavel Kadeřábek"
New Zealand,4-3-3,4-2-3-1,"Focuses heavily on Wood, Bell, and Cacace. Backups consist of A-League and European fringe players.","Chris Wood, Joe Bell, Liberato Cacace","Callum McCowatt, Bill Tuiloma, Alex Paulsen","Ryan Thomas, Marco Rojas"
Sweden,4-4-2,4-2-3-1,Features a phenomenal attacking trident. High-potential youth replace aging defenders.,"Alexander Isak, Dejan Kulusevski, Viktor Gyökeres, Victor Lindelöf","Carl Starfelt, Lucas Bergvall, Daniel Svensson","Pontus Jansson, Marcus Danielson"
DR Congo,4-2-3-1,4-3-3,Wissa and Mbemba offer pedigree. Physical and experienced European-based players fill the depth.,"Yoane Wissa, Noah Sadiki, A. Wan-Bissaka, Chancel Mbemba","Axel Tuanzebe, Jackson Muleka, Samuel Essende","Cédric Bakambu, Yannick Bolasie"
Iraq,4-2-3-1,4-3-3,Relying heavily on European-based talents alongside domestic mainstays. Aging defenders excluded.,"Kevin Yakob, Merchas Doski, Ibrahim Bayesh, Zidane Iqbal","Saad Natiq, Bashar Resan, Amjad Attwan","Mohanad Jeahze, Ali Adnan"
Tunisia,4-3-3,4-1-4-1,"Counts on European regulars. Strong prospects filter in, leaving aside older iconic players.","Ellyes Skhiri, Montassar Talbi, Elias Achouri, Aïssa Laïdouni","Ismaël Gharbi, O. El Azzouzi, Ali Abdi","Rani Khedira, Ali Maâloul, Youssef Msakni"
Saudi Arabia,4-3-3,4-2-3-1,Utilizes domestic dominance and key stars. Veteran players are excluded in favor of younger depth.,"Salem Al-Dawsari, Saud Abdulhamid, Musab Al-Juwayr, Hassan Al-Tambakti","Yasser Al-Shahrani, Ali Lajami","Salman Al-Faraj, Hatan Bahbri"
South Africa,4-2-3-1,4-3-3,Relies predominantly on the successful Mamelodi Sundowns core. Squad is largely confirmed.,"Ronwen Williams, Themba Zwane, Teboho Mokoena, Lyle Foster","Iqraam Rayners, Khuliso Mudau","Bongani Zungu, Thembinkosi Lorch"
Cape Verde,4-3-3,4-2-3-1,Squad heavily relies on established talents across Europe. Stable squad with few absentees.,"Logan Costa, Leandro Andrade, Sidny L. Cabral, Bébé",None specified,None specified